Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Station,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone,Date,Hour,DayOfWeek,Month,Year,CPU_Status,Memory_Status,Disk_Status,System_Health_Score,System_Health_Status
Station1_LOG00473,SRV054,CL-9,2025-08-01 22:24:00,73.99,55.575,56.26,17.52,15.17,916.61,7.51,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,22,Friday,8,2025,Medium,Medium,Medium,38.05833333333334,Poor
Station1_LOG00474,SRV067,CL-5,2025-08-02 03:26:00,28.55,53.15,5.92,3.65,7.42,464.58,0.59,Station1,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,3,Saturday,8,2025,Low,Medium,Low,70.79333333333334,Good
Station1_LOG00475,SRV043,CL-8,2025-08-01 03:30:00,18.17,55.575,9.98,25.43,24.21,127.74,4.18,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,3,Friday,8,2025,Low,Medium,Low,72.09166666666667,Good
Station1_LOG00476,SRV040,CL-6,2025-08-02 05:30:00,41.14,40.96,41.7,22.18,12.41,368.23,3.31,Station1,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,5,Saturday,8,2025,Low,Low,Low,58.733333333333334,Fair
Station1_LOG00477,SRV073,CL-3,2025-08-02 19:40:00,38.45,87.66,40.0,7.31,19.13,469.46,3.42,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-02,19,Saturday,8,2025,Low,High,Low,44.629999999999995,Fair
Station1_LOG00478,SRV040,CL-6,2025-08-01 18:02:00,72.18,24.85,70.19,7.39,5.08,158.14,5.5,Station1,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,18,Friday,8,2025,Medium,Low,Medium,44.26,Fair
Station1_LOG00479,SRV063,CL-10,2025-08-01 22:05:00,91.15,73.57,32.5,16.58,9.98,138.01,2.87,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,22,Friday,8,2025,High,Medium,Low,34.260000000000005,Poor
Station1_LOG00480,SRV046,CL-7,2025-08-02 14:10:00,90.81,59.32,38.58,10.28,5.03,682.23,5.51,Station1,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405,2025-08-02,14,Saturday,8,2025,High,Medium,Low,37.09666666666667,Poor
Station1_LOG00481,SRV010,CL-4,2025-08-01 14:13:00,52.48,55.575,42.47,1.52,6.08,155.89,0.4,Station1,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,14,Friday,8,2025,Medium,Medium,Low,49.824999999999996,Fair
Station1_LOG00482,SRV032,CL-4,2025-08-02 04:50:00,84.15,75.37,62.16,25.72,5.71,107.67,8.06,Station1,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,4,Saturday,8,2025,High,Medium,Medium,26.10666666666667,Poor
Station1_LOG00483,SRV045,CL-2,2025-08-01 06:03:00,46.78,49.53,63.11,2.33,23.17,154.77,1.45,Station1,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,6,Friday,8,2025,Low,Low,Medium,46.85999999999999,Fair
Station1_LOG00484,SRV054,CL-9,2025-08-02 06:20:00,18.7,79.25,76.06,11.9,13.82,149.58,9.64,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,6,Saturday,8,2025,Low,Medium,Medium,41.99666666666667,Fair
Station1_LOG00485,SRV082,CL-10,2025-08-02 00:10:00,52.65,54.64,7.0,23.12,21.4,492.87,9.4,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-02,0,Saturday,8,2025,Medium,Medium,Low,61.903333333333336,Good
Station1_LOG00486,SRV006,CL-4,2025-08-01 05:29:00,42.47,69.61,60.14,21.69,13.45,831.18,7.23,Station1,host-006,10.0.232.230,Windows,Mumbai,Alice,CL-4,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,5,Friday,8,2025,Low,Medium,Medium,42.593333333333334,Fair
Station1_LOG00487,SRV013,CL-2,2025-08-01 02:17:00,33.97,73.58,56.87,14.97,5.36,364.25,8.82,Station1,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,2,Friday,8,2025,Low,Medium,Medium,45.193333333333335,Fair
Station1_LOG00488,SRV063,CL-10,2025-08-02 22:12:00,71.11,52.95,28.52,12.2,19.52,210.02,7.83,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-02,22,Saturday,8,2025,Medium,Medium,Low,49.13999999999999,Fair
Station1_LOG00489,SRV056,CL-4,2025-08-01 05:18:00,28.46,55.575,43.44,22.23,1.81,997.3,4.84,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-01,5,Friday,8,2025,Low,Medium,Low,57.50833333333333,Fair
Station1_LOG00490,SRV050,CL-1,2025-08-02 08:06:00,53.76,72.35,62.18,21.6,10.12,981.01,7.52,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-02,8,Saturday,8,2025,Medium,Medium,Medium,37.23666666666667,Poor
Station1_LOG00491,SRV046,CL-7,2025-08-01 01:04:00,16.98,72.47,30.46,18.45,7.98,721.53,7.41,Station1,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405,2025-08-01,1,Friday,8,2025,Low,Medium,Low,60.03,Good
Station1_LOG00492,SRV029,CL-2,2025-08-02 04:51:00,83.91,39.05,8.46,17.42,3.39,553.13,3.49,Station1,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,2025-08-02,4,Saturday,8,2025,High,Low,Low,56.193333333333335,Fair
Station1_LOG00493,SRV041,CL-10,2025-08-01 20:59:00,46.36,48.49,13.17,14.9,10.98,265.99,9.97,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,20,Friday,8,2025,Low,Low,Low,63.99333333333333,Good
Station1_LOG00494,SRV029,CL-2,2025-08-02 21:53:00,17.92,74.08,77.36,28.94,2.09,985.55,4.75,Station1,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,2025-08-02,21,Saturday,8,2025,Low,Medium,Medium,43.54666666666666,Fair
Station1_LOG00495,SRV001,CL-8,2025-08-01 06:31:00,63.93,52.18,44.18,19.69,9.35,490.96,1.02,Station1,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,2025-08-01,6,Friday,8,2025,Medium,Medium,Low,46.57,Fair
Station1_LOG00496,SRV094,CL-8,2025-08-02 18:27:00,89.91,37.91,76.22,4.37,10.72,525.51,6.81,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,2025-08-02,18,Saturday,8,2025,High,Low,Medium,31.986666666666665,Poor
Station1_LOG00497,SRV089,CL-1,2025-08-01 11:39:00,42.57,82.92,11.27,9.84,19.5,309.31,5.84,Station1,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,11,Friday,8,2025,Low,High,Low,54.41333333333333,Fair
Station1_LOG00498,SRV001,CL-8,2025-08-02 15:02:00,47.43,55.575,29.8,6.38,2.95,716.15,4.17,Station1,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,2025-08-02,15,Saturday,8,2025,Low,Medium,Low,55.73166666666666,Fair
Station1_LOG00499,SRV056,CL-4,2025-08-02 01:15:00,72.53,64.85,14.19,3.65,15.19,211.85,4.43,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-02,1,Saturday,8,2025,Medium,Medium,Low,49.47666666666667,Fair
Station1_LOG00500,SRV084,CL-9,2025-08-01 05:43:00,60.23,31.05,61.53,10.35,5.97,624.46,1.87,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,5,Friday,8,2025,Medium,Low,Medium,49.06333333333333,Fair
Station1_LOG00501,SRV048,CL-9,2025-08-02 03:48:00,26.95,35.67,13.02,18.05,20.84,711.96,3.01,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,3,Saturday,8,2025,Low,Low,Low,74.78666666666666,Good
Station1_LOG00502,SRV013,CL-2,2025-08-02 16:20:00,67.67,55.575,21.13,1.58,8.34,307.2,1.04,Station1,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,16,Saturday,8,2025,Medium,Medium,Low,51.875,Fair
Station1_LOG00503,SRV056,CL-4,2025-08-02 19:44:00,19.9,56.83,36.54,20.98,12.875,128.22,3.88,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-02,19,Saturday,8,2025,Low,Medium,Low,62.24333333333334,Good
Station1_LOG00504,SRV046,CL-7,2025-08-02 19:33:00,80.28,34.38,65.54,16.74,0.9,316.83,8.36,Station1,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405,2025-08-02,19,Saturday,8,2025,High,Low,Medium,39.93333333333334,Poor
Station1_LOG00505,SRV082,CL-10,2025-08-02 19:14:00,75.24,53.69,63.74,8.36,17.54,557.2,8.6,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-02,19,Saturday,8,2025,Medium,Medium,Medium,35.77666666666666,Poor
Station1_LOG00506,SRV017,CL-6,2025-08-01 08:47:00,51.91,87.62,9.63,23.71,18.59,874.95,8.47,Station1,host-017,10.0.188.240,Windows,Mumbai,Ethan,CL-6,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,8,Friday,8,2025,Medium,High,Low,50.28,Fair
Station1_LOG00507,SRV005,CL-3,2025-08-01 10:03:00,87.35,48.91,52.97,10.59,22.27,399.65,2.67,Station1,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,10,Friday,8,2025,High,Low,Medium,36.92333333333334,Poor
Station1_LOG00508,SRV048,CL-9,2025-08-02 03:14:00,57.6,56.02,79.25,25.18,5.62,992.92,1.12,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,3,Saturday,8,2025,Medium,Medium,Medium,35.709999999999994,Poor
Station1_LOG00509,SRV016,CL-2,2025-08-02 00:11:00,47.14,53.03,29.69,7.62,17.54,110.98,5.44,Station1,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,0,Saturday,8,2025,Low,Medium,Low,56.71333333333333,Fair
Station1_LOG00510,SRV006,CL-4,2025-08-01 03:34:00,59.4,40.19,23.13,0.87,15.88,871.44,2.97,Station1,host-006,10.0.232.230,Windows,Mumbai,Alice,CL-4,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,3,Friday,8,2025,Medium,Low,Low,59.093333333333334,Fair
Station1_LOG00511,SRV084,CL-9,2025-08-02 15:25:00,61.02,74.23,56.56,25.44,12.875,485.04,1.59,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,15,Saturday,8,2025,Medium,Medium,Medium,36.06333333333333,Poor
Station1_LOG00512,SRV040,CL-6,2025-08-01 05:00:00,57.36,52.06,33.69,19.77,8.18,183.27,6.74,Station1,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,5,Friday,8,2025,Medium,Medium,Low,52.29666666666666,Fair
Station1_LOG00513,SRV066,CL-9,2025-08-01 15:05:00,58.49,69.87,73.87,24.05,8.28,409.01,1.47,Station1,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,15,Friday,8,2025,Medium,Medium,Medium,32.58999999999999,Poor
Station1_LOG00514,SRV073,CL-3,2025-08-02 21:17:00,53.28,50.76,52.68,5.73,1.76,893.79,3.59,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-02,21,Saturday,8,2025,Medium,Medium,Medium,47.76,Fair
Station1_LOG00515,SRV043,CL-8,2025-08-02 12:32:00,87.01,84.74,49.04,12.07,20.03,850.92,0.58,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,12,Saturday,8,2025,High,High,Low,26.403333333333336,Poor
Station1_LOG00516,SRV011,CL-7,2025-08-02 08:25:00,61.15,25.3,9.61,20.47,13.8,994.95,4.74,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,8,Saturday,8,2025,Medium,Low,Low,67.97999999999999,Good
Station1_LOG00517,SRV063,CL-10,2025-08-01 18:52:00,93.51,55.575,76.05,16.27,18.41,454.48,5.28,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,18,Friday,8,2025,High,Medium,Medium,24.955,Poor
Station1_LOG00518,SRV035,CL-6,2025-08-01 22:50:00,61.15,26.98,17.21,8.12,8.96,487.08,6.7,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,22,Friday,8,2025,Medium,Low,Low,64.88666666666666,Good
Station1_LOG00519,SRV029,CL-2,2025-08-02 14:37:00,30.37,69.78,16.51,20.3,17.19,959.27,7.07,Station1,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,2025-08-02,14,Saturday,8,2025,Low,Medium,Low,61.11333333333333,Good
Station1_LOG00520,SRV027,CL-7,2025-08-02 11:47:00,54.12,58.84,32.53,1.96,7.02,941.41,9.8,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,11,Saturday,8,2025,Medium,Medium,Low,51.50333333333333,Fair
Station1_LOG00521,SRV045,CL-2,2025-08-02 10:33:00,62.88,32.66,72.78,29.28,2.51,865.53,4.66,Station1,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,10,Saturday,8,2025,Medium,Low,Medium,43.89333333333334,Fair
Station1_LOG00522,SRV008,CL-1,2025-08-01 23:36:00,73.59,48.13,9.66,1.37,22.45,178.33,2.43,Station1,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,23,Friday,8,2025,Medium,Low,Low,56.20666666666667,Fair
Station1_LOG00523,SRV081,CL-4,2025-08-01 03:16:00,89.37,84.98,40.31,18.25,20.59,733.28,3.33,Station1,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,3,Friday,8,2025,High,High,Low,28.44666666666666,Poor
Station1_LOG00524,SRV027,CL-7,2025-08-01 02:54:00,24.14,80.26,74.07,17.7,12.15,829.8,6.81,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,2,Friday,8,2025,Low,High,Medium,40.51,Fair
Station1_LOG00525,SRV020,CL-9,2025-08-01 10:50:00,60.53,21.21,59.17,16.78,17.12,450.56,3.86,Station1,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,10,Friday,8,2025,Medium,Low,Medium,53.029999999999994,Fair
Station1_LOG00526,SRV006,CL-4,2025-08-02 14:24:00,33.95,66.96,44.01,29.18,14.34,587.47,2.06,Station1,host-006,10.0.232.230,Windows,Mumbai,Alice,CL-4,alice@xyzcorp.com,+1-202-531-6896,2025-08-02,14,Saturday,8,2025,Low,Medium,Low,51.693333333333335,Fair
Station1_LOG00527,SRV020,CL-9,2025-08-01 18:48:00,30.05,67.95,28.41,7.28,17.43,875.7,2.15,Station1,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,18,Friday,8,2025,Low,Medium,Low,57.86333333333334,Fair
Station1_LOG00528,SRV032,CL-4,2025-08-01 20:41:00,56.41,33.51,15.15,18.62,15.01,362.48,8.88,Station1,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,20,Friday,8,2025,Medium,Low,Low,64.97666666666666,Good
Station1_LOG00529,SRV010,CL-4,2025-08-02 15:44:00,81.44,69.87,42.22,29.41,10.28,491.69,8.43,Station1,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,15,Saturday,8,2025,High,Medium,Low,35.489999999999995,Poor
Station1_LOG00530,SRV048,CL-9,2025-08-01 17:13:00,59.52,60.01,61.3,11.58,5.91,816.25,1.61,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,17,Friday,8,2025,Medium,Medium,Medium,39.723333333333336,Poor
Station1_LOG00531,SRV031,CL-7,2025-08-01 15:14:00,62.97,45.22,24.05,1.43,2.76,472.28,4.64,Station1,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,15,Friday,8,2025,Medium,Low,Low,55.919999999999995,Fair
Station1_LOG00532,SRV012,CL-3,2025-08-02 13:43:00,91.74,55.575,5.47,16.07,16.41,169.95,0.35,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,13,Saturday,8,2025,High,Medium,Low,49.071666666666665,Fair
Station1_LOG00533,SRV013,CL-2,2025-08-02 18:52:00,58.61,35.91,11.71,13.09,12.25,109.84,1.04,Station1,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,18,Saturday,8,2025,Medium,Low,Low,64.59,Good
Station1_LOG00534,SRV077,CL-1,2025-08-01 06:33:00,14.32,68.76,57.63,4.19,11.56,222.28,7.85,Station1,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,6,Friday,8,2025,Low,Medium,Medium,53.096666666666664,Fair
Station1_LOG00535,SRV073,CL-3,2025-08-01 19:20:00,13.17,72.3,33.94,9.24,3.06,254.9,8.14,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-01,19,Friday,8,2025,Low,Medium,Low,60.196666666666665,Good
Station1_LOG00536,SRV073,CL-3,2025-08-02 02:09:00,28.88,71.54,52.83,1.41,11.46,625.38,6.64,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-02,2,Saturday,8,2025,Low,Medium,Medium,48.916666666666664,Fair
Station1_LOG00537,SRV041,CL-10,2025-08-01 16:08:00,85.56,86.12,69.4,19.38,22.88,242.14,4.43,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,16,Friday,8,2025,High,High,Medium,19.64,Poor
Station1_LOG00538,SRV086,CL-4,2025-08-02 09:23:00,34.49,55.575,16.91,5.89,24.65,690.72,3.17,Station1,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,9,Saturday,8,2025,Low,Medium,Low,64.34166666666667,Good
Station1_LOG00539,SRV040,CL-6,2025-08-01 21:09:00,66.08,52.84,58.9,19.81,23.1,890.18,5.52,Station1,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,21,Friday,8,2025,Medium,Medium,Medium,40.72666666666667,Fair
Station1_LOG00540,SRV078,CL-1,2025-08-01 01:31:00,92.94,49.43,48.82,3.33,9.08,375.17,3.62,Station1,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405,2025-08-01,1,Friday,8,2025,High,Low,Low,36.27,Poor
Station1_LOG00541,SRV028,CL-2,2025-08-01 23:23:00,33.14,71.61,5.01,20.93,16.33,795.05,8.06,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,23,Friday,8,2025,Low,Medium,Low,63.413333333333334,Good
Station1_LOG00542,SRV056,CL-4,2025-08-01 13:23:00,34.78,32.2,77.21,3.97,10.29,479.84,4.69,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-01,13,Friday,8,2025,Low,Low,Medium,51.93666666666667,Fair
Station1_LOG00543,SRV028,CL-2,2025-08-01 20:53:00,73.08,21.6,25.29,6.77,23.65,627.84,3.56,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,20,Friday,8,2025,Medium,Low,Low,60.01,Good
Station1_LOG00544,SRV094,CL-8,2025-08-02 22:56:00,32.28,20.44,22.71,17.19,1.64,846.93,7.36,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,2025-08-02,22,Saturday,8,2025,Low,Low,Low,74.85666666666667,Good
Station1_LOG00545,SRV048,CL-9,2025-08-01 14:46:00,21.22,27.61,37.88,26.87,15.0,307.97,2.07,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,14,Friday,8,2025,Low,Low,Low,71.09666666666666,Good
Station1_LOG00546,SRV063,CL-10,2025-08-01 16:35:00,84.76,70.2,76.56,17.17,10.42,477.99,2.08,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,16,Friday,8,2025,High,Medium,Medium,22.826666666666668,Poor
Station1_LOG00547,SRV012,CL-3,2025-08-02 15:07:00,44.06,55.575,52.13,14.08,6.82,371.23,7.7,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,15,Saturday,8,2025,Low,Medium,Medium,49.41166666666666,Fair
Station1_LOG00548,SRV041,CL-10,2025-08-01 06:24:00,20.28,43.26,41.7,2.88,5.42,927.8,9.53,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,6,Friday,8,2025,Low,Low,Low,64.91999999999999,Good
Station1_LOG00549,SRV028,CL-2,2025-08-02 03:20:00,57.9,77.72,15.4,13.01,24.14,983.43,5.94,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,3,Saturday,8,2025,Medium,Medium,Low,49.66,Fair
Station1_LOG00550,SRV034,CL-6,2025-08-02 09:12:00,39.5,70.47,23.02,8.28,10.02,281.31,6.98,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,9,Saturday,8,2025,Low,Medium,Low,55.669999999999995,Fair
Station1_LOG00551,SRV011,CL-7,2025-08-01 00:44:00,19.3,29.59,19.49,21.71,1.91,286.99,4.72,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,0,Friday,8,2025,Low,Low,Low,77.20666666666666,Good
Station1_LOG00552,SRV067,CL-5,2025-08-01 01:42:00,52.84,38.48,40.54,28.97,7.0,614.24,0.52,Station1,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,1,Friday,8,2025,Medium,Low,Low,56.046666666666674,Fair
Station1_LOG00553,SRV084,CL-9,2025-08-02 19:36:00,64.0,55.575,75.28,14.16,16.68,699.64,6.44,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,19,Saturday,8,2025,Medium,Medium,Medium,35.04833333333333,Poor
Station1_LOG00554,SRV097,CL-3,2025-08-01 06:02:00,49.9,29.44,54.73,1.22,9.46,676.76,7.53,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,6,Friday,8,2025,Low,Low,Medium,55.31,Fair
Station1_LOG00555,SRV026,CL-2,2025-08-01 05:33:00,64.57,77.65,69.09,21.46,16.17,983.8,3.39,Station1,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,5,Friday,8,2025,Medium,Medium,Medium,29.563333333333333,Poor
Station1_LOG00556,SRV034,CL-6,2025-08-01 15:49:00,78.85,25.92,53.94,9.06,18.12,720.57,9.69,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,CL-6,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,15,Friday,8,2025,Medium,Low,Medium,47.09666666666667,Fair
Station1_LOG00557,SRV067,CL-5,2025-08-01 15:19:00,49.54,48.28,41.01,29.45,21.81,297.66,0.36,Station1,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,15,Friday,8,2025,Low,Low,Low,53.723333333333336,Fair
Station1_LOG00558,SRV011,CL-7,2025-08-02 06:48:00,39.68,56.08,20.78,17.01,18.3,243.79,5.04,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,6,Saturday,8,2025,Low,Medium,Low,61.153333333333336,Good
Station1_LOG00559,SRV086,CL-4,2025-08-02 12:57:00,20.4,55.575,7.53,23.31,12.875,456.57,3.84,Station1,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,12,Saturday,8,2025,Low,Medium,Low,72.165,Good
Station1_LOG00560,SRV031,CL-7,2025-08-01 07:10:00,59.97,53.91,22.87,10.71,17.4,760.01,7.67,Station1,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,7,Friday,8,2025,Medium,Medium,Low,54.416666666666664,Fair
